Kód,Obec,Okrsek,Voliči v Seznamu,Vydané Obálky,PLatné Hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
530573, Příbram,10,51,30,30,7,0,0,1,0,4,9,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0
564630, Příbram,1,135,107,105,25,1,0,15,0,4,8,0,0,2,0,0,8,0,0,6,18,0,0,7,0,1,0,0,10,0
564630, Příbram,2,77,57,56,5,0,0,1,0,4,8,0,1,2,0,0,6,0,0,2,20,0,0,1,0,0,0,0,6,0
541311, Příbram,x,198,144,143,13,0,0,8,1,18,10,1,2,1,0,0,16,0,0,10,52,0,0,2,0,0,0,0,9,0
541320, Příbram,x,319,187,187,10,0,0,20,0,10,18,1,1,0,1,0,10,0,0,10,62,0,1,13,0,0,1,0,29,0
541338, Příbram,x,1 052,756,755,108,1,2,46,0,51,82,10,6,13,0,1,129,1,0,33,181,1,1,25,0,6,0,2,56,0
564583, Příbram,x,111,71,71,8,0,0,2,0,1,14,0,0,3,0,0,3,0,1,4,22,0,0,3,0,0,0,0,10,0
541371, Příbram,x,281,220,218,30,0,0,12,0,19,26,8,1,1,0,0,19,0,0,5,65,1,0,14,0,6,1,0,10,0
541389, Příbram,x,352,251,250,37,1,0,11,0,22,9,1,1,7,0,0,33,0,0,12,75,0,0,17,0,0,3,0,20,1
541397, Příbram,x,490,311,311,38,0,0,24,0,49,22,8,2,5,1,0,33,0,0,8,76,0,0,24,0,1,2,0,16,2
564273, Příbram,x,86,65,65,9,0,0,3,0,2,4,0,0,0,0,0,11,0,0,3,16,0,0,13,0,1,0,0,3,0
541419, Příbram,x,262,160,159,23,0,0,9,0,17,13,6,0,4,1,0,25,0,0,4,31,1,0,8,0,0,0,0,15,2
529664, Příbram,x,57,24,23,1,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
541427, Příbram,1,448,296,292,27,0,0,26,0,29,29,2,1,3,0,0,25,0,0,8,112,0,0,7,1,2,1,0,18,1
541427, Příbram,2,48,41,41,2,0,0,0,0,2,4,0,0,0,0,0,4,0,0,0,25,0,0,1,0,0,0,0,3,0
598429, Příbram,x,363,241,239,21,0,0,13,0,26,23,2,3,2,0,1,29,0,0,23,68,0,0,6,0,0,0,2,20,0
541451, Příbram,x,197,136,133,13,0,0,9,0,8,8,4,1,3,0,0,17,0,0,4,38,0,0,11,0,2,1,0,14,0
598330, Příbram,x,84,61,61,2,0,0,0,0,8,6,0,0,0,0,0,7,0,1,1,33,0,0,1,0,0,0,0,2,0
513539, Příbram,x,139,85,85,10,0,0,6,0,8,3,1,2,1,0,0,12,0,0,3,16,0,1,9,0,1,0,1,10,1
541508, Příbram,1,423,281,279,27,0,0,33,1,13,23,1,1,1,0,1,29,0,0,7,94,0,2,4,0,0,1,1,40,0
541508, Příbram,2,113,82,81,5,0,0,6,0,4,13,0,0,0,0,0,9,0,0,5,24,0,0,0,0,0,0,0,14,1
541516, Příbram,x,536,356,354,46,1,0,35,0,32,22,8,4,3,0,1,34,0,0,9,108,0,2,6,0,2,1,0,39,1
541524, Příbram,1,191,134,133,8,0,0,18,0,24,20,1,1,0,0,0,3,0,0,14,24,0,2,7,0,0,0,0,10,1
541524, Příbram,2,140,89,89,1,0,0,13,0,13,18,0,2,1,0,0,1,0,0,4,25,0,0,1,0,0,1,0,9,0
541541, Příbram,x,498,343,341,44,0,0,25,0,30,10,4,6,19,0,2,58,0,0,31,77,0,1,6,0,1,0,2,23,2
564362, Příbram,x,130,89,89,12,1,0,3,0,2,10,0,2,3,0,0,18,0,0,8,16,0,0,9,0,0,0,0,5,0
541567, Příbram,x,236,147,146,8,0,0,13,0,18,17,3,0,1,1,0,8,0,0,1,51,0,1,4,0,2,1,0,16,1
598437, Příbram,x,107,80,79,12,0,0,4,0,8,10,1,1,0,0,0,4,0,0,3,17,0,1,3,0,0,0,1,13,1
541583, Příbram,x,264,203,203,15,0,0,14,0,18,16,5,2,2,0,0,21,0,0,15,66,0,0,11,0,1,0,0,16,1
541591, Příbram,1,488,288,287,25,1,0,23,0,35,24,2,7,5,0,0,39,0,0,15,71,1,0,19,0,1,1,0,17,1
541591, Příbram,2,88,62,62,6,0,0,4,0,5,1,0,0,0,2,0,5,0,0,7,17,0,0,4,0,0,0,0,11,0
541591, Příbram,3,109,79,79,3,0,0,7,0,10,3,4,3,1,0,0,5,0,0,2,11,0,0,26,0,0,0,0,4,0
541613, Příbram,x,260,181,179,20,0,0,14,0,8,18,1,0,3,0,0,13,0,0,11,66,0,0,10,0,0,0,2,13,0
564320, Příbram,x,112,70,70,3,0,0,7,0,9,4,5,0,2,0,0,5,0,0,0,26,0,0,3,0,0,0,0,6,0
513512, Příbram,x,244,169,169,12,0,0,21,0,28,9,2,2,0,0,0,7,0,0,4,72,0,0,4,0,0,0,0,8,0
564338, Příbram,x,70,49,49,9,0,0,6,0,1,1,0,3,4,0,0,5,0,0,1,14,0,0,1,0,0,0,0,4,0
