Kód,Obec,Okrsek,Voliči v Seznamu,Vydané Obálky,PLatné Hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
564605, Příbram,x,126,81,80,1,0,0,9,0,12,4,0,2,0,0,0,6,0,0,4,29,0,1,5,0,2,0,0,5,0
564257, Příbram,x,84,64,64,10,0,0,9,0,1,7,0,2,2,1,0,1,0,0,4,20,0,0,0,0,0,0,0,5,2
540285, Příbram,x,337,226,225,32,0,0,8,0,21,13,5,3,5,0,0,25,0,0,13,67,0,0,7,0,0,0,1,24,1
513580, Příbram,x,210,114,113,6,0,0,14,0,17,14,1,0,1,0,1,9,0,0,6,34,0,0,2,0,0,0,0,8,0
540315, Příbram,1,405,272,271,18,0,0,24,1,68,33,4,3,2,0,0,27,0,1,7,60,0,1,10,0,1,0,0,11,0
540315, Příbram,2,58,43,43,4,0,0,4,0,5,3,1,0,0,0,0,7,0,0,4,12,0,0,1,0,0,0,0,2,0
540315, Příbram,3,90,70,69,1,0,1,3,0,10,13,0,1,1,0,0,11,0,0,1,16,0,0,2,0,0,0,0,8,1
540315, Příbram,4,110,68,68,5,0,0,2,0,14,11,0,2,1,0,0,10,0,0,2,16,0,0,0,0,0,0,1,4,0
540323, Příbram,x,379,231,229,33,3,2,6,0,17,16,3,2,1,0,0,37,0,0,10,72,1,0,5,0,2,2,0,17,0
564249, Příbram,x,178,107,107,9,0,0,14,0,11,11,2,3,2,0,0,11,0,0,3,21,0,0,3,0,1,0,0,16,0
540358, Příbram,x,209,146,146,19,1,0,13,0,8,5,0,1,0,0,0,23,0,0,11,49,0,0,7,0,0,0,0,9,0
540374, Příbram,1,239,154,154,11,0,0,8,0,8,22,2,2,1,0,0,19,0,0,7,52,0,0,4,0,0,0,0,17,1
540374, Příbram,2,93,59,59,1,0,0,2,0,8,11,3,2,0,0,0,2,0,0,1,21,0,0,0,0,0,0,0,8,0
540391, Příbram,x,442,277,276,23,0,0,23,1,34,15,0,3,9,1,0,35,0,0,12,79,0,0,15,0,0,1,0,25,0
540404, Příbram,1,671,360,359,8,0,0,17,2,14,103,9,2,7,1,1,27,0,0,8,102,0,0,6,0,1,3,4,41,3
540404, Příbram,2,908,543,540,48,5,2,37,0,23,88,16,4,16,3,2,53,1,2,21,150,0,2,14,0,3,0,1,47,2
540404, Příbram,3,86,52,51,8,0,0,1,0,4,12,2,0,2,0,1,5,0,0,4,6,0,0,0,0,0,0,0,5,1
540404, Příbram,4,33,15,15,1,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,3,0
540439, Příbram,x,741,481,476,47,0,0,23,0,123,37,8,6,5,1,1,42,0,0,19,107,1,0,13,0,3,2,0,38,0
540447, Příbram,x,394,266,255,26,1,0,23,0,17,18,2,1,3,0,0,21,0,0,7,65,0,0,36,0,0,0,0,35,0
598461, Příbram,x,261,162,160,11,0,0,9,0,30,8,1,3,2,0,0,19,0,1,5,54,0,0,8,0,0,0,0,9,0
599204, Příbram,x,95,74,74,8,0,0,4,0,6,6,4,0,1,0,0,11,1,0,5,23,0,0,1,0,0,0,0,4,0
540498, Příbram,x,1 080,678,675,55,0,0,43,0,83,36,10,18,5,0,1,92,0,0,22,196,0,1,41,0,2,3,0,67,0
513555, Příbram,x,168,122,121,20,1,0,13,0,2,8,2,1,2,0,0,16,0,0,5,30,0,0,7,0,0,0,1,13,0
529681, Příbram,x,98,56,56,2,0,0,14,0,1,8,1,1,0,0,0,1,0,0,3,18,0,0,0,0,0,0,0,7,0
540536, Příbram,x,333,213,210,22,0,0,18,0,11,28,2,1,2,0,0,18,0,0,3,64,0,0,7,0,1,0,2,31,0
540552, Příbram,x,867,534,529,45,1,0,36,0,66,29,3,5,4,1,1,58,2,2,19,159,0,3,33,2,2,1,1,54,2
540579, Příbram,x,152,112,112,22,1,0,7,0,14,3,3,0,0,0,0,13,0,0,3,35,0,0,2,0,0,0,0,9,0
540587, Příbram,x,102,87,87,16,0,0,6,0,1,18,0,3,2,0,0,3,0,0,0,14,0,0,0,0,1,0,3,14,6
540625, Příbram,x,485,334,331,27,0,0,29,0,12,25,6,2,3,2,1,30,0,0,25,129,0,0,6,0,2,1,1,30,0
564346, Příbram,x,168,129,128,17,0,0,9,1,13,7,1,0,3,0,0,14,0,0,5,37,0,0,11,0,1,0,0,9,0
513521, Příbram,x,151,109,109,8,1,0,9,0,7,10,1,5,0,0,0,5,0,0,5,35,1,0,7,0,0,0,1,14,0
598411, Příbram,x,398,266,263,28,0,0,18,0,10,29,3,5,4,1,0,24,0,0,8,99,0,1,11,0,0,1,1,20,0
540714, Příbram,x,802,537,531,62,0,0,33,1,39,23,12,3,5,0,3,63,0,0,19,192,1,1,15,0,4,1,1,49,4
540749, Příbram,x,270,160,160,13,0,0,22,0,11,23,2,1,0,0,0,10,0,0,3,47,0,0,7,0,1,0,0,20,0
540757, Příbram,1,730,439,432,31,1,0,25,0,12,43,6,7,7,1,1,54,0,0,19,161,0,0,11,1,9,0,3,40,0
540757, Příbram,2,746,475,474,47,0,0,33,0,19,40,8,7,5,0,0,57,0,1,28,168,0,0,26,0,0,0,1,34,0
540757, Příbram,3,171,113,113,13,0,1,12,0,8,15,1,0,0,0,0,11,0,0,1,32,0,0,5,0,2,0,0,12,0
540757, Příbram,4,52,32,32,2,0,0,3,0,4,2,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,1,0,1,1
599751, Příbram,x,64,42,42,6,0,0,3,0,3,3,2,1,2,0,0,2,0,0,1,15,0,0,2,0,0,0,0,2,0
540781, Příbram,x,608,376,374,42,0,0,13,0,23,25,8,4,3,3,3,77,2,0,24,101,0,0,10,0,1,0,0,35,0
540790, Příbram,x,445,282,280,23,0,0,10,0,30,14,3,1,4,0,0,48,0,1,10,86,0,1,9,0,0,1,1,35,3
564478, Příbram,x,224,142,142,12,0,0,11,0,8,16,1,1,0,0,1,17,0,0,12,45,0,0,4,0,2,0,0,12,0
540811, Příbram,x,632,397,391,40,0,0,27,0,33,33,3,4,12,1,0,38,0,0,15,122,0,1,16,0,4,0,0,41,1
540820, Příbram,x,355,250,249,26,1,0,13,0,30,13,3,3,13,0,0,21,0,0,8,64,0,1,18,0,2,1,0,32,0
540846, Příbram,1,355,203,203,32,0,1,6,0,35,5,5,0,5,0,0,23,0,0,4,43,0,1,30,0,4,0,0,9,0
540846, Příbram,2,82,60,60,0,0,0,2,0,7,2,0,1,1,0,0,3,0,0,0,19,0,0,19,0,2,1,0,3,0
540846, Příbram,3,91,55,55,5,0,0,4,0,1,3,0,1,0,0,0,5,0,0,0,13,0,0,15,0,1,0,0,7,0
564524, Příbram,x,162,102,101,10,0,0,1,0,4,14,1,1,0,0,0,16,0,0,3,32,0,0,0,0,3,0,1,14,1
564222, Příbram,x,44,32,32,4,0,0,4,0,2,1,0,0,0,0,0,1,0,0,2,10,0,0,1,0,1,0,0,5,1
540889, Příbram,x,922,631,616,110,0,0,31,0,36,33,16,4,2,0,4,95,0,0,42,154,0,0,34,0,4,1,1,46,3
540897, Příbram,x,210,147,147,23,0,0,9,1,9,4,2,6,0,0,2,32,0,0,8,31,1,1,2,0,1,1,0,13,1
540901, Příbram,1,793,539,536,68,0,0,42,1,24,53,6,8,10,2,3,66,0,2,25,152,0,1,17,0,2,0,1,53,0
540901, Příbram,2,794,528,524,78,0,1,26,0,27,37,5,9,9,1,4,82,0,0,18,150,1,1,20,0,1,0,0,53,1
513571, Příbram,x,127,100,100,20,0,0,8,0,8,11,0,2,2,0,0,9,0,0,6,24,0,0,2,0,0,0,0,8,0
540935, Příbram,1,921,587,577,69,2,1,51,0,27,64,3,1,8,1,1,45,0,0,34,162,0,2,20,0,3,1,4,73,5
540935, Příbram,2,101,78,78,7,0,0,10,0,3,7,0,3,2,0,0,4,0,0,1,34,1,0,0,0,0,0,0,6,0
540943, Příbram,x,209,151,150,13,0,0,13,0,22,14,2,3,1,0,0,11,1,0,8,46,0,0,3,0,0,1,0,11,1
540951, Příbram,x,529,346,346,32,1,0,27,1,19,27,0,5,10,0,0,32,0,0,26,97,1,0,20,0,2,1,1,43,1
540960, Příbram,x,233,155,155,15,0,0,4,0,10,9,0,1,5,0,0,33,0,0,4,62,0,0,4,0,0,0,0,7,1
598470, Příbram,x,206,125,122,13,0,0,8,0,10,9,0,1,0,0,0,19,0,0,1,39,0,0,10,0,0,1,0,11,0
598372, Příbram,x,92,59,58,4,0,0,0,0,11,5,1,0,2,0,0,8,0,0,3,17,0,1,1,0,0,0,0,5,0
541010, Příbram,x,190,134,133,32,0,0,13,0,7,2,1,3,0,1,0,19,0,0,7,32,0,0,4,0,0,0,0,12,0
541028, Příbram,x,300,165,163,16,0,0,10,0,8,21,3,6,2,0,0,13,0,0,4,55,0,0,10,0,0,0,0,14,1
541044, Příbram,1,816,564,563,45,1,0,23,0,109,26,5,4,3,0,1,91,2,0,27,121,0,0,45,0,5,0,0,55,0
541044, Příbram,2,138,100,100,5,0,0,3,0,24,5,0,1,0,0,0,11,0,0,6,20,0,0,17,0,1,0,0,7,0
541044, Příbram,3,139,106,106,16,0,0,2,0,27,8,3,3,1,0,0,17,0,0,1,16,0,0,4,0,1,0,0,7,0
541052, Příbram,x,490,310,308,32,2,0,23,0,12,38,1,3,4,0,0,25,2,0,8,111,0,0,8,0,0,0,0,37,2
564214, Příbram,x,79,43,43,5,0,0,3,0,6,4,0,0,4,0,0,4,0,0,0,13,0,0,0,0,1,0,0,3,0
541087, Příbram,x,438,277,273,19,0,0,21,0,37,19,1,2,5,0,0,35,0,0,6,82,0,0,19,0,1,0,1,25,0
564486, Příbram,x,884,532,527,57,0,1,53,0,38,44,10,5,9,0,1,53,0,0,40,152,1,1,13,0,3,0,0,46,0
541133, Příbram,x,399,248,246,30,1,0,12,0,31,23,1,1,2,0,1,30,0,2,3,59,0,0,21,0,0,0,0,29,0
539911, Příbram,1,2 263,644,628,84,1,0,31,0,19,49,8,2,13,0,2,81,0,0,45,189,0,1,31,0,2,0,2,67,1
539911, Příbram,2,813,460,457,52,0,0,46,0,34,42,7,1,9,0,0,62,0,1,26,116,0,1,19,1,1,1,2,36,0
539911, Příbram,3,646,443,430,70,4,0,17,1,29,20,3,1,7,0,0,54,1,0,25,123,0,0,40,0,1,0,1,33,0
539911, Příbram,4,911,672,669,119,0,0,42,0,38,26,12,0,13,0,1,64,0,0,69,187,0,1,31,1,7,1,0,57,0
539911, Příbram,5,656,432,429,53,0,0,21,1,34,29,7,4,3,1,0,40,1,0,38,134,1,0,23,0,4,0,1,34,0
539911, Příbram,6,676,460,459,56,0,1,36,0,21,19,14,1,1,1,1,65,0,0,39,131,0,0,32,0,4,2,2,33,0
539911, Příbram,7,832,489,480,49,1,1,37,0,18,78,4,0,8,1,0,45,0,0,22,139,0,0,13,0,3,3,0,58,0
539911, Příbram,8,930,535,533,50,0,0,53,0,23,58,3,1,10,1,1,49,0,0,32,176,0,0,20,0,0,0,0,55,1
539911, Příbram,9,939,567,562,60,1,0,39,0,27,48,8,3,14,0,1,65,0,0,43,178,0,3,32,0,3,0,1,35,1
539911, Příbram,10,684,498,495,89,0,0,25,1,36,23,7,2,12,0,1,62,0,0,46,145,2,0,17,0,4,0,1,19,3
539911, Příbram,11,1 025,614,612,47,2,0,41,0,23,78,10,3,9,0,1,52,0,0,28,217,0,0,14,0,6,2,0,79,0
539911, Příbram,12,1 073,640,637,57,2,1,53,1,28,58,10,4,15,0,2,71,0,1,37,184,0,0,25,1,3,0,1,77,6
539911, Příbram,13,35,26,26,3,0,0,0,0,0,3,1,0,0,0,0,5,0,0,2,9,0,0,1,0,0,0,0,2,0
539911, Příbram,14,1 187,811,800,94,1,0,53,2,37,59,15,7,9,0,1,98,0,0,32,271,0,0,34,0,7,0,1,78,1
539911, Příbram,15,701,372,368,28,0,0,23,0,16,34,5,0,6,0,1,50,0,0,14,125,0,2,10,0,4,2,0,48,0
539911, Příbram,16,730,414,414,32,0,0,28,0,23,44,7,3,4,0,0,64,0,1,22,131,1,0,7,0,2,2,0,42,1
539911, Příbram,17,527,297,295,25,1,0,24,0,20,19,4,2,10,2,0,36,0,0,18,113,0,0,3,0,1,0,0,17,0
539911, Příbram,18,604,360,360,21,1,0,39,0,22,41,1,3,6,0,1,43,0,0,21,112,0,2,6,0,1,0,0,40,0
539911, Příbram,19,630,371,369,34,0,0,47,1,19,22,0,3,4,0,0,41,0,0,31,126,1,0,9,0,1,0,1,29,0
539911, Příbram,20,608,340,338,42,1,0,27,0,18,35,4,2,1,0,0,45,0,0,21,93,0,0,8,0,3,0,0,38,0
539911, Příbram,21,677,398,392,25,2,0,23,0,20,38,7,5,13,0,0,56,0,1,22,119,0,0,6,0,6,3,0,46,0
539911, Příbram,22,671,329,328,32,1,2,22,1,7,35,4,5,4,0,0,34,0,0,16,117,0,0,7,0,3,0,0,38,0
539911, Příbram,23,622,396,394,45,0,0,36,0,17,32,5,5,4,0,1,54,0,0,25,113,0,0,9,0,2,2,0,43,1
539911, Příbram,24,590,353,348,34,1,0,32,1,22,38,3,3,1,0,0,28,0,0,14,121,0,0,10,0,1,0,0,36,3
539911, Příbram,25,528,355,352,49,1,0,36,1,11,24,4,2,6,0,0,28,0,0,10,142,0,1,9,0,3,0,0,25,0
539911, Příbram,26,619,321,319,20,0,0,22,0,11,25,3,0,2,0,0,31,0,0,18,128,0,0,4,0,2,1,0,51,1
539911, Příbram,27,691,413,409,33,0,0,33,0,23,27,5,2,6,0,1,50,0,0,19,152,0,1,4,0,3,0,0,50,0
539911, Příbram,28,913,580,575,42,1,0,51,0,28,36,9,7,12,2,0,61,0,0,29,224,0,3,10,0,2,0,1,57,0
539911, Příbram,29,850,536,533,61,0,0,33,0,22,50,10,0,7,0,0,53,0,0,27,202,0,1,14,0,5,1,0,46,1
539911, Příbram,30,845,483,482,34,0,0,42,0,23,35,1,2,7,1,1,58,0,0,24,188,0,1,10,1,1,0,1,51,1
539911, Příbram,31,499,336,334,39,1,1,30,0,21,27,4,2,8,0,1,40,0,0,15,95,0,1,8,0,1,0,0,40,0
539911, Příbram,32,630,414,413,26,0,1,52,2,18,42,7,4,8,0,0,39,0,0,13,132,0,0,12,1,1,0,2,52,1
539911, Příbram,33,306,215,214,20,0,0,7,0,8,24,5,0,5,0,0,32,0,0,15,68,0,0,8,0,1,0,2,19,0
539911, Příbram,34,407,323,323,54,0,0,11,0,27,28,2,2,6,0,0,30,0,0,23,94,0,0,8,0,1,2,0,35,0
539911, Příbram,35,78,61,61,4,0,0,10,0,6,6,0,0,1,0,0,3,0,0,5,18,0,0,1,0,0,0,0,7,0
539911, Příbram,36,120,76,75,9,0,0,6,0,2,8,0,0,0,0,0,8,0,0,5,22,0,1,7,0,0,0,0,7,0
539911, Příbram,37,296,226,225,37,0,1,13,0,8,17,1,2,3,0,0,28,0,0,20,55,0,0,9,0,4,0,1,26,0
539911, Příbram,38,230,146,142,23,1,0,16,0,9,10,1,0,0,0,0,17,0,0,7,44,0,0,1,0,0,0,0,12,1
539911, Příbram,39,611,450,448,62,0,0,29,0,26,37,8,0,10,0,0,57,0,0,47,110,1,0,24,0,1,0,0,36,0
513547, Příbram,x,260,177,177,20,1,0,6,0,28,13,2,3,2,1,0,23,0,0,13,54,0,0,2,0,0,0,0,9,0
564389, Příbram,x,151,112,111,5,0,0,14,0,5,7,2,1,2,0,1,12,0,0,4,52,0,0,0,0,0,0,0,6,0
598488, Příbram,x,181,119,117,8,0,0,9,0,5,18,0,3,0,0,0,4,0,0,10,40,0,0,3,0,0,2,1,14,0
541206, Příbram,x,637,389,385,49,1,0,32,0,24,46,8,2,18,2,0,44,0,0,20,93,0,1,7,0,3,1,0,34,0
541231, Příbram,1,712,365,364,44,1,0,30,0,20,46,3,2,0,1,1,38,1,0,10,116,1,0,21,0,2,1,0,26,0
541231, Příbram,2,546,345,344,35,1,0,32,0,13,54,4,3,12,1,0,37,0,0,10,109,0,1,9,0,2,2,0,19,0
541231, Příbram,3,510,320,318,38,0,0,25,0,20,47,1,1,3,1,0,22,0,1,19,102,0,0,16,0,1,0,0,21,0
541231, Příbram,4,639,424,423,34,0,0,34,1,30,74,11,1,2,0,0,34,0,0,13,119,0,0,15,0,6,0,1,48,0
541231, Příbram,5,134,56,54,1,0,0,8,0,2,10,0,3,1,0,1,1,0,0,1,17,0,0,6,0,1,1,0,0,1
541231, Příbram,6,277,202,200,10,0,0,29,0,12,13,1,6,6,0,0,25,0,0,7,59,0,0,10,0,1,1,0,19,1
541231, Příbram,7,98,64,64,10,0,0,3,0,2,21,1,0,0,0,0,9,0,0,1,11,0,0,0,0,0,0,0,6,0
541231, Příbram,8,185,125,125,12,0,0,8,0,6,25,0,0,4,2,0,13,0,0,4,32,0,0,8,0,0,0,1,10,0
541231, Příbram,9,213,116,116,8,0,1,8,0,5,10,0,0,0,0,0,7,0,0,4,51,0,2,6,0,0,0,0,14,0
541231, Příbram,10,106,68,68,4,0,0,7,0,4,12,1,0,0,0,0,11,0,0,3,18,0,1,3,0,0,0,0,3,1
541231, Příbram,11,144,107,106,4,0,1,6,0,16,17,0,2,3,0,0,16,1,0,2,25,0,0,3,0,0,0,1,9,0
541257, Příbram,x,335,227,227,39,1,0,12,0,15,18,7,1,1,0,0,32,0,0,10,59,1,0,7,0,3,0,0,20,1
541273, Příbram,x,188,136,136,10,1,0,12,0,3,29,1,0,0,0,0,12,0,0,6,30,0,0,10,0,0,1,0,21,0
541281, Příbram,1,922,511,506,61,0,1,35,0,35,28,2,9,5,2,0,85,1,0,32,130,0,0,26,0,3,1,1,49,0
541281, Příbram,2,507,325,324,40,0,0,30,0,30,28,1,4,4,0,0,58,0,0,16,72,0,1,11,2,0,1,4,20,2
541281, Příbram,3,686,450,449,50,0,0,38,1,26,22,2,7,6,0,0,58,0,1,16,150,1,0,29,0,5,0,0,37,0
541281, Příbram,4,658,400,394,38,0,0,23,0,20,47,5,3,2,0,2,55,0,0,12,132,0,0,17,0,2,0,3,33,0
541281, Příbram,5,116,54,52,3,0,0,9,0,0,7,0,1,2,0,1,2,0,0,0,16,0,0,3,1,0,0,0,6,1
541281, Příbram,6,924,657,654,110,2,0,45,0,54,27,9,6,10,0,0,114,0,0,29,161,0,1,19,0,2,0,1,64,0
541281, Příbram,7,568,373,368,62,1,0,17,0,19,24,7,1,5,0,2,62,0,0,18,89,0,0,23,0,0,0,1,36,1
541281, Příbram,8,1 014,687,680,89,1,0,44,0,59,34,14,2,11,0,1,85,0,0,30,190,1,0,38,0,5,0,1,74,1
541281, Příbram,9,182,115,115,13,0,0,4,1,4,8,3,1,2,0,1,18,0,0,2,42,0,0,3,0,0,1,2,10,0
541281, Příbram,10,109,75,75,3,0,0,4,0,6,3,0,4,1,0,0,14,0,0,4,20,0,0,2,0,0,0,0,13,1
541281, Příbram,11,114,85,85,8,0,0,8,0,9,4,0,3,0,0,0,19,0,0,5,14,0,0,5,0,3,0,0,6,1
541281, Příbram,12,133,74,74,9,0,0,2,0,5,2,0,2,0,0,0,10,0,0,5,22,0,0,10,0,0,0,0,7,0
541281, Příbram,13,58,35,33,2,0,0,2,0,3,3,1,0,0,0,0,3,0,0,3,11,0,0,0,0,1,0,0,4,0
530573, Příbram,1,833,543,541,55,0,0,49,1,34,57,10,1,7,0,0,42,0,0,19,165,0,3,37,0,3,2,1,54,1
530573, Příbram,2,449,294,292,27,0,0,19,0,23,15,1,2,1,0,0,24,0,0,8,119,0,0,14,0,3,3,0,32,1
530573, Příbram,3,206,141,141,7,1,0,6,2,6,5,5,4,2,0,0,27,0,0,2,56,0,0,6,0,2,0,0,9,1
530573, Příbram,4,145,103,103,16,0,0,5,0,9,8,2,0,1,0,0,15,0,0,4,29,0,0,3,0,0,1,1,9,0
530573, Příbram,5,116,64,64,5,0,0,9,0,7,4,1,0,0,0,0,5,0,0,9,16,0,0,4,0,0,0,0,4,0
530573, Příbram,6,96,64,64,13,0,0,9,0,5,1,0,0,0,0,0,12,0,0,1,12,0,1,8,0,0,0,0,2,0
530573, Příbram,7,205,127,127,12,0,0,16,0,7,10,1,3,1,0,0,10,0,0,2,46,0,1,3,0,3,0,1,10,1
530573, Příbram,8,130,85,85,6,0,0,11,0,9,8,0,0,1,0,0,6,0,0,2,31,0,0,7,0,0,0,0,4,0
530573, Příbram,9,100,62,62,7,0,0,9,0,6,9,1,0,0,0,0,2,0,0,2,13,0,0,7,0,0,0,0,6,0
